,,Model,Family,Line,Platform,"Product ID Tray","Product ID Boxed","Product ID MPK","Launch Date","# of CPU Cores","# of Threads","Graphics Core Count","Base Clock","Max. Boost Clock ¹ ²","All Core Boost Speed","Total L1 Cache","Total L2 Cache","Total L3 Cache","Unlocked for Overclocking","Processor Technology for CPU Cores","CPU Socket","Socket Count","PCI Express® Version","Thermal Solution PIB","Thermal Solution MPK","Default TDP","AMD Configurable TDP (cTDP)","Max. Operating Temperature (Tjmax)","*OS Support","System Memory Specification","System Memory Type","Memory Channels","Per Socket Mem BW","Graphics Frequency","GPU Base","Graphics Model","Supported Technologies","Workload Affinity"
,on,FX-6300,"AMD FX-Series Processors","AMD FX 6-Core Black Edition Processors","Boxed Processor",FD6300WMW6KHK,FD6300WMHKBOX,,,6,6,,3.5GHz,"Up to 3.8GHz",,288KB,6MB,8MB,No,"32nm SOI",AM3+,,"PCIe 3.0",,,95W,,70.50°C,,"Up to 1866MHz",DDR3,,,,,"Discrete Graphics Card Required","AES, AVX, FMA4",
,on,"A8-6410 with Radeon™ R5 Graphics","AMD A-Series Processors","AMD A8-Series APU for Laptops",Laptop,AM6410ITJ44JB,n/a,,,4,4,,2.0GHz,"Up to 2.4GHz",,,2MB,,No,28nm,FT3b,,,,,15W,,90°C,,"Up to 1866MHz",DDR3L,1,,"847 MHz",,"AMD Radeon™ R5 Graphics","Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",
,on,FX-6200,"AMD FX-Series Processors","AMD FX 6-Core Black Edition Processors","Boxed Processor",FD6200FRW6KGU,FD6200FRGUBOX,,,6,6,,3.8GHz,"Up to 4.1GHz",,288KB,6MB,8MB,Yes,"32nm SOI",AM3+,,n/a,,,125W,,61.10°C,,"Up to 1866MHz",DDR3,,,,,"Discrete Graphics Card Required",AES,
,on,"FX 6100","AMD FX-Series Processors","AMD FX 6-Core Black Edition Processors","Boxed Processor",FD6100WMW6KGU,FD6100WMGUSBX,,,6,6,,3.3GHz,"Up to 3.9GHz",,288KB,6MB,8MB,Yes,"32nm SOI",AM3+,,n/a,,,95W,,70°C,,"Up to 1866MHz",DDR3,,,,,"Discrete Graphics Card Required",AES,
,on,FX-4350,"AMD FX-Series Processors","AMD FX 4-Core Black Edition Processors","Boxed Processor",FD4350FRW4KHK,FD4350FRHKBOX,,,4,4,,4.2GHz,"Up to 4.3GHz",,192KB,4MB,8MB,Yes,"32nm SOI",AM3+,,n/a,,,125W,,61.10°C,,"Up to 1866MHz",DDR3,,,,,"Discrete Graphics Card Required",AES,
,on,FX-4320,"AMD FX-Series Processors","AMD FX 4-Core Black Edition Processors","Boxed Processor",FD4320WMW4MHK,FD4320WMHKBOX,,,4,4,,4.0GHz,"Up to 4.1GHz",,192KB,4MB,4MB,No,"32nm SOI",AM3+,,"Not Listed",,,95W,,70.50°C,,"Up to 1866MHz",DDR3,,,,,"Discrete Graphics Card Required","AES, AVX, FMA4",
,on,FX-4300,"AMD FX-Series Processors","AMD FX 4-Core Black Edition Processors","Boxed Processor",FD4300WMW4MHK,FD4300WMHKBOX,,,4,4,,3.8GHz,"Up to 4.0GHz",,192KB,4MB,4MB,Yes,"32nm SOI",AM3+,,n/a,,,95W,,70.50°C,,"Up to 1866MHz",DDR3,,,,,"Discrete Graphics Card Required",AES,
,on,FX-4170,"AMD FX-Series Processors","AMD FX 4-Core Black Edition Processors","Boxed Processor",FD4170FRW4KGU,FD4170FRGUSBOX,,,4,4,,4.2GHz,"Up to 4.3GHz",,192KB,4MB,8MB,No,32nm,AM3+,,n/a,,,125W,,61.10°C,,,"Not Listed",,,,,"Discrete Graphics Card Required",AES,
,on,FX-4130,"AMD FX-Series Processors","AMD FX 4-Core Black Edition Processors","Boxed Processor",FD4130FRW4MGU,FD4130FRGUBOX,,,4,4,,3.8GHz,"Up to 3.9GHz",,192KB,4MB,4MB,Yes,"32nm SOI",AM3,,n/a,,,125W,,70°C,,"Up to 1866MHz",DDR3,,,,,"Discrete Graphics Card Required",AES,
,on,FX-4100,"AMD FX-Series Processors","AMD FX 4-Core Black Edition Processors","Boxed Processor",FD4100WMW4KGU,FD4100WMGUSBX,,,4,4,,3.6GHz,"Up to 3.8GHz",,192KB,4MB,8MB,Yes,"32nm SOI",AM3+,,n/a,,,95W,,70.50°C,,"Up to 1866MHz",DDR3,,,,,"Discrete Graphics Card Required",AES,
,on,1075T,"AMD Phenom™","AMD Phenom™ II X6","Boxed Processor",HDT75TWFK6DGR,HDT75TWFGRBOX,,,6,6,,3.5GHz,,,768KB,3MB,6MB,No,,AM3,,n/a,,,95W,,,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,1045T,"AMD Phenom™","AMD Phenom™ II X6","Boxed Processor",HDT45TWFK6DGR,HDT45TWFGRBOX,,,,,,2.7GHz,"Up to 3.2GHz",,768KB,3MB,6MB,No,,AM3,,n/a,,,95W,,71°C,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,"A6-8500P with Radeon™ R5 Graphics","AMD A-Series Processors","AMD A6-Series APU for Laptops",Laptop,AM850PAAY23KA,n/a,,,2,2,4,1.6GHz,"Up to 3.0GHz",,,1MB,,No,28nm,FP4,,,,,15W,,90°C,,,"Not Listed",2,,"800 MHz",,"AMD Radeon™ R5 Graphics","Virtualization, AES, Catalyst Software, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",
,on,980,"AMD Phenom™","AMD Phenom™ II X4 Black","Boxed Processor",HDZ980FBK4DGM,HDZ980FBGMBOX,,,4,4,,3.7GHz,,,512KB,2MB,6MB,Yes,,AM3,,n/a,,,125W,,,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,"A6-7310 with Radeon™ R4 Graphics","AMD A-Series Processors","AMD A6-Series APU for Laptops",Laptop,AM7310JBY44JB,n/a,,,4,4,,2.0GHz,"Up to 2.4GHz",,,2MB,,No,28nm,FP4,,,,,15W,,90°C,,"Up to 1866MHz",DDR3L,1,,"800 MHz",,"AMD Radeon™ R4 Graphics","Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",
,on,"A6-7310 with Radeon™ R4 Graphics","AMD A-Series Processors","AMD A6-Series APU for Laptops",Laptop,AM7310ITJ44JB,n/a,,,4,4,,2.0GHz,"Up to 2.4GHz",,,2MB,,No,28nm,FT3b,,,,,15W,,90°C,,"Up to 1866MHz",DDR3L,1,,"800 MHz",,"AMD Radeon™ R4 Graphics","Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",
,on,975,"AMD Phenom™","AMD Phenom™ II X4 Black","Boxed Processor",HDZ975FBK4DGM,HDZ975FBGMBOX,,,4,4,,3.6GHz,,,512KB,2MB,6MB,Yes,"45nm SOI",AM3,,n/a,,,125W,,62°C,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,"A6-7000 with Radeon™ R4 Graphics","AMD A-Series Processors","AMD A6-Series APU for Laptops",Laptop,AM7000ECH23JA,n/a,,,2,2,3,2.2GHz,"Up to 3.0GHz",,,1MB,,No,28nm,FT3,,,,,17W,,,,,"Not Listed",2,,"533 MHz",,"AMD Radeon™ R4 Graphics","Virtualization, AES, Catalyst Software, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",
,on,965,"AMD Phenom™","AMD Phenom™ II X4 Black","Boxed Processor",HDZ965FBK4DGM,HDZ965FBGMBOX,,,4,4,,3.4GHz,,,,2MB,,Yes,,AM3,,n/a,,,80W,,,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,"A6-6310 with Radeon™ R4 Graphics","AMD A-Series Processors","AMD A6-Series APU for Laptops",Laptop,AM6310ITJ44JB,n/a,,,4,4,,2.4GHz,,,,2MB,,No,28nm,FT3b,,,,,15W,,,,"Up to 1865MHz",DDR3L,1,,,,"AMD Radeon™ R4 Graphics","Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",
,on,960T,"AMD Phenom™","AMD Phenom™ II X4 Black","Boxed Processor",HD96ZTWFK4DGR,HD96ZTWFGRBOX,,,4,4,,3.0GHz,"Up to 3.4GHz",,512KB,512KB,,Yes,,AM3,,n/a,,,95W,,71°C,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,850,"AMD Phenom™","AMD Phenom™ II X4","Boxed Processor",HDX850WFK42GM,HDX850WFGMBOX,,,4,4,,3.3GHz,,,512KB,2MB,,No,,AM3,,n/a,,,95W,,,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,840,"AMD Phenom™","AMD Phenom™ II X4","Boxed Processor",HDX840WFK42GM,HDX840WFGMBOX,,,4,4,,3.2GHz,,,512KB,2MB,,No,,AM3,,n/a,,,95W,,71°C,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,"A6-5350M with Radeon™ HD 8450G","AMD A-Series Processors","AMD A6-Series APU for Laptops",Laptop,AM5350DEC23HL,n/a,,,2,2,,2.9GHz,"Up to 3.5GHz",,,2MB,,No,32nm,FS1r2,,,,,35W,,,,"Up to 1600MHz",DDR3,2,,"533 MHz",,"AMD Radeon™ HD 8450G","Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",
,on,570,"AMD Phenom™","AMD Phenom™ II X2 Black","Boxed Processor",HDZ570WFK2DGM,HDZ570WFGMBOX,,,2,2,,4.0GHz,,,,,6MB,Yes,,AM3,,n/a,,,80W,,,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,565,"AMD Phenom™","AMD Phenom™ II X2 Black","Boxed Processor",HDZ565WFG2DGM,HDZ565WFGMBOX,,,2,2,,3.4GHz,,,0KB,1MB,,Yes,"45nm SOI",AM3,,,,,80W,,,,,"Not Listed",,,,,"Discrete Graphics Card Required",Virtualization,
,on,"A6-5200M with Radeon™ HD 8400","AMD A-Series Processors","AMD A6-Series APU for Laptops",Laptop,AM5200IAJ44HM,n/a,,,4,4,,2.0GHz,,,,2MB,,No,28nm,FT3,,,,,25W,,,,,"Not Listed",1,,,,"AMD Radeon™ HD 8400","Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, AMD PowerTune Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",
,on,555,"AMD Phenom™","AMD Phenom™ II X2 Black","Boxed Processor",HDZ565WFG2DGM,HDZ555WFGMBOX,,,2,2,,3.2GHz,,,,1MB,,Yes,,AM3,,n/a,,,80W,,,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,565,"AMD Phenom™","AMD Phenom™ II X2","Boxed Processor",HDZ565WFK2DGM,HDZ565WFGMBOX,,,2,2,,3.4GHz,,,256KB,1MB,6MB,Yes,,AM3,,n/a,,,80W,,70°C,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,X940,"AMD Phenom™","AMD Phenom™ II Black Edition Quad-Core Mobile Processors",Laptop,HMX940HIR42GM,n/a,,,4,4,,2.4GHz,,,512KB,2MB,,Yes,,S1,,n/a,,,45W,,100°C,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,N970,"AMD Phenom™","AMD Phenom™ II Quad-Core Mobile Processors",Laptop,HMN970DCR42GM,n/a,,,4,4,,2.2GHz,,,512KB,2MB,,No,,S1,,n/a,,,35W,,100°C,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,N960,"AMD Phenom™","AMD Phenom™ II Quad-Core Mobile Processors",Laptop,HMP960SGR42GM,n/a,,,4,4,,1.8GHz,,,512KB,2MB,,No,,S1,,n/a,,,35W,,100°C,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,N870,"AMD Phenom™","AMD Phenom™ II Triple-Core Mobile Processors",Laptop,HMN870DCR32GM,n/a,,,3,3,,2.3GHz,,,384KB,1.5MB,,No,,AM2+,,n/a,,,35W,,100°C,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,P860,"AMD Phenom™","AMD Phenom™ II Triple-Core Mobile Processors",Laptop,HMP860SGR32GM,n/a,,,3,3,,2.0GHz,,,384KB,1.5MB,,No,,AM2+,,n/a,,,35W,,100°C,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,N660,"AMD Phenom™","AMD Phenom™ II Dual-Core Mobile Processors",Laptop,HMN660DCR23GM,n/a,,,2,2,,3.0GHz,,,256KB,2MB,,No,,S1,,n/a,,,35W,,100°C,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,"A4-7210 with Radeon™ R3 Graphics","AMD A-Series Processors","AMD A4-Series APU for Laptops",Laptop,AM7210ITJ44JB,n/a,,,4,4,,1.8GHz,"Up to 2.2GHz",,,2MB,,No,28nm,FT3b,,,,,65W,,90°C,,"Up to 1600MHz",DDR3L,1,,"686 MHz",,"AMD Radeon™ R3 Graphics","Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",
,on,"A4 Micro-6400T with Radeon™ R3 Graphics","AMD A-Series Processors","AMD A4-Series APU for Laptops","Laptop, Tablet",AM640TIVJ44JB,n/a,,,4,4,,1.6GHz,,,,2MB,,No,28nm,FT3b,,,,,4.5W,,,,"Up to 1333MHz",DDR3L,1,,,,"AMD Radeon™ R3 Graphics","Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",
,on,P650,"AMD Phenom™","AMD Phenom™ II Dual-Core Mobile Processors",Laptop,HMP650SGR23GM,n/a,,,2,2,,2.6GHz,,,256KB,2MB,,No,,S1,,n/a,,,35W,,100°C,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,"A4-6210 with Radeon™ R3 Graphics","AMD A-Series Processors","AMD A4-Series APU for Laptops",Laptop,AM6210ITJ44JB,n/a,,,4,4,,1.8GHz,,,,2MB,,No,28nm,FT3b,,,,,15W,,,,"Up to 1599MHz",DDR3L,1,,,,"AMD Radeon™ R3 Graphics","Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",
,on,N640,"AMD Phenom™","AMD Phenom™ II Dual-Core Mobile Processors",Laptop,HMN640DCR23GM,n/a,,,2,2,,2.8GHz,,,256KB,2MB,,No,,S1,,n/a,,,35W,,100°C,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,B99,"AMD Phenom™","AMD Business Class - AMD Phenom™ X4 Quad-Core",Desktop,HDXB99WFK4DGM,n/a,,,4,4,,3.3GHz,,,,2MB,,No,,AM3,,n/a,,,95W,,,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,B97,"AMD Phenom™","AMD Business Class - AMD Phenom™ X4 Quad-Core",Desktop,HDXB97WFK4DGM,n/a,,,4,4,,3.2GHz,,,,2MB,,No,,AM3,,n/a,,,95W,,,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,B95,"AMD Phenom™","AMD Business Class - AMD Phenom™ X4 Quad-Core",Desktop,HDXB95WFK4DGM,n/a,,,,,,3.0GHz,,,,2MB,,No,,AM3,,n/a,,,95W,,,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,"A4-5100 with Radeon™ HD 8330","AMD A-Series Processors","AMD A4-Series APU for Laptops","Laptop, Tablet",AM5100IBJ44HM,n/a,,,4,4,,1.55GHz,,,,2MB,,No,28nm,FT3,,,,,15W,,,,,"Not Listed",1,,,,"AMD Radeon™ HD 8330","Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",
,on,B77,"AMD Phenom™","AMD Business Class - AMD Phenom™ X3 Triple-Core",Desktop,HDXB77WFK3DGM,n/a,,,3,3,,3.2GHz,,,,1.5MB,,No,,AM3,,n/a,,,95W,,,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,"A4-5000 with Radeon™ HD 8330","AMD A-Series Processors","AMD A4-Series APU for Laptops","Laptop, Tablet",AM5000IBJ44HM,n/a,,,4,4,,1.5GHz,,,,2MB,,No,28nm,FT3,,,,,15W,,,,,"Not Listed",1,,,,"AMD Radeon™ HD 8330","Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",
,on,B75,"AMD Phenom™","AMD Business Class - AMD Phenom™ X3 Triple-Core",Desktop,HDXB75WFK3DGM,n/a,,,3,3,,3.0GHz,,,,1.5MB,,No,,AM3,,n/a,,,95W,,,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,B60,"AMD Phenom™","AMD Business Class - AMD Phenom™ X2 Dual-Core",Desktop,HDXB60WFK2DGM,n/a,,,2,2,,3.5GHz,,,,1MB,,No,,AM3,,n/a,,,80W,,,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,B59,"AMD Phenom™","AMD Business Class - AMD Phenom™ X2 Dual-Core",Desktop,HDXB59WFK2DGM,n/a,,,2,2,,3.4GHz,,,,1MB,,No,,AM3,,n/a,,,80W,,,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,B57,"AMD Phenom™","AMD Business Class - AMD Phenom™ X2 Dual-Core",Desktop,HDXB57WFK2DGM,n/a,,,2,2,,3.2GHz,,,,1MB,,No,,AM3,,n/a,,,80W,,,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,641,"AMD Athlon™ Processors","AMD Athlon™ II X4","Boxed Processor",AD641XWNZ43GX,AD641XWNGXBOX,,,4,4,,2.8GHz,,,512KB,4MB,,No,32nm,"FM1 uPGA",,"Not Listed",,,100W,,70.10°C,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,638,"AMD Athlon™ Processors","AMD Athlon™ II X4","Boxed Processor",AD638XOJZ43GX,AD638XOJGXBOX,,,4,4,,2.7GHz,,,512KB,4MB,,No,32nm,"FM1 uPGA",,"Not Listed",,,65W,,70.10°C,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,631,"AMD Athlon™ Processors","AMD Athlon™ II X4","Boxed Processor",AD631XWNZ43GX,AD631XWNGXBOX,,,4,4,,2.6GHz,,,,4MB,,No,32nm,"FM1 uPGA",,"Not Listed",,,100W,,70.10°C,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,631,"AMD Athlon™ Processors","AMD Athlon™ II X4","Boxed Processor",AD631XOJZ43GX,AD631XOJGXBOX,,,4,4,,2.6GHz,,,,4MB,,No,32nm,"FM1 uPGA",,"Not Listed",,,65W,,,,,"Not Listed",,,,,"Discrete Graphics Card Required",,
,on,620e,"AMD Athlon™ Processors","AMD Athlon™ II X4","Boxed Processor",AD620EHDK42GM,AD620EHDGMBOX,,,4,4,,2.7GHz,,,,,,No,,AM3,,"Not Listed",,,45W,,,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,460,"AMD Athlon™ Processors","AMD Athlon™ II X3","Boxed Processor",ADX460WFK32GM,ADX460WFGMBOX,,,3,3,,3.4GHz,,,384KB,1.5MB,,No,,AM3,,"Not Listed",,,95W,,75°C,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,425e,"AMD Athlon™ Processors","AMD Athlon™ II X3","Boxed Processor",AD425EHDK32GM,AD425EHDGMBOX,,,3,3,,2.7GHz,,,384KB,1.5MB,,No,,AM3,,"Not Listed",,,45W,,,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,255e,"AMD Athlon™ Processors","AMD Athlon™ II X2","Boxed Processor",AD255EHDK23GM,AD255EHDGMBOX,,,2,2,,3.1GHz,,,256KB,2MB,,No,,AM3,,"Not Listed",,,45W,,72°C,,,DDR3,,,,,"Discrete Graphics Card Required",,
,on,"A10-8700P with Radeon™ R6 Graphics","AMD A-Series Processors","AMD A10-Series APU for AIOs",All-in-One,AM870PAAY43KAD,n/a,,,4,4,6,1.8GHz,"Up to 3.2GHz",,,2MB,,No,28nm,FP4,,,,,,,90°C,,"Up to 2133MHz",DDR3,2,,"800 MHz",,"AMD Radeon™ R6 Graphics","Virtualization, AES, Catalyst Software, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",
,on,"7th Gen AMD Athlon™ X4 970","AMD Athlon™ Processors","AMD Athlon™ X4","Boxed Processor",AD970XAUM44AB,AD970XAUABBOX,,7/27/2017,4,4,,3.8GHz,"Up to 4.0GHz",,,2MB,,Yes,28nm,AM4,,"PCIe 3.0",,,65W,,,,"Up to 2400MHz",DDR4,,,,,"Discrete Graphics Card Required",,
,on,"A8-8600P with Radeon™ R6 Graphics","AMD A-Series Processors","AMD A8-Series APU for AIOs",All-in-One,AM860PAAY43KAD,n/a,,,4,4,6,1.6GHz,"Up to 3.0GHz",,,2MB,,No,28nm,FP4,,,,,,,90°C,,"Up to 2133MHz",DDR3,2,,"720 MHz",,"AMD Radeon™ R6 Graphics","Virtualization, AES, Catalyst Software, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",
,on,"A8-6410 with Radeon™ R5 Graphics","AMD A-Series Processors","AMD A8-Series APU for AIOs",All-in-One,AM7410JBY44JBD,n/a,,,4,4,,2.2GHz,"Up to 2.5GHz",,,2MB,,No,28nm,FT3b,,,,,,,90°C,,"Up to 1866MHz",DDR3L,1,,"847 MHz",,"AMD Radeon™ R5 Graphics","Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",
,on,"7th Gen AMD Athlon™ X4 950","AMD Athlon™ Processors","AMD Athlon™ X4","Boxed Processor",AD950XAGM44AB,AD950XAGABBOX,,7/27/2017,4,4,,3.5GHz,"Up to 3.8GHz",,,2MB,,Yes,28nm,AM4,,"PCIe 3.0",,,,45/65W,,,"Up to 2400MHz",DDR4,,,,,"Discrete Graphics Card Required",,
,on,"7th Gen AMD Athlon™ X4 940","AMD Athlon™ Processors","AMD Athlon™ X4","Boxed Processor",AD940XAGM44AB,AD940XAGABBOX,,7/27/2017,4,4,,3.2GHz,"Up to 3.6GHz",,,2MB,,Yes,28nm,AM4,,"PCIe 3.0",,,,45/65W,,,"Up to 2400MHz",DDR4,,,,,"Discrete Graphics Card Required",,
,on,"A6-8500P with Radeon™ R5 Graphics","AMD A-Series Processors","AMD A6-Series APU for AIOs",All-in-One,AM850PAAY23KAD,n/a,,,2,2,4,1.6GHz,"Up to 3.0GHz",,,1MB,,No,28nm,FP4,,,,,,,90°C,,,"Not Listed",2,,"800 MHz",,"AMD Radeon™ R5 Graphics","Virtualization, AES, Catalyst Software, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",
